Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,Source_24,Source_25,Source_26,Source_27,Source_28,Source_29,Source_30,Source_31,Source_32,Source_33,Source_34,Source_35,Source_36,Source_37,Source_38,Source_39,Source_40
0.012371,-0.044224,-0.009066,0.024751,-0.009204,-0.056323,-0.016026,0.068627,0.077235,0.01257,0.003465,-0.074448,0.055094,-0.031671,-0.034179,0.00095,-0.073238,0.081423,0.004749,0.004144,0.042193,0.049998,-0.049223,-0.030651,0.008957,0.019573,0.006631,0.00254,0.02801,-0.017544,-0.015267,0.012002,-0.015561,0.017813,0.02719,-0.029984,-0.01366,-0.010579,0.012404,0.018092,-0.027725
0.011534,-0.035169,-0.001958,0.021545,-0.01382,-0.051765,-0.014206,0.067046,0.078618,0.011469,0.006614,-0.083076,0.05934,-0.022451,-0.026416,-0.011127,-0.063578,0.080057,0.004422,0.015042,0.043722,0.051031,-0.047787,-0.040087,0.011298,0.018459,0.006225,-0.008975,0.019121,-0.00604,-0.018749,0.02369,-0.02556,0.016502,0.022044,-0.028795,-0.018657,-0.009603,0.005039,0.022769,-0.027737
0.012929,-0.020684,-0.048352,0.035208,0.002746,-0.021329,-0.002542,0.047828,0.010684,0.002126,-0.035064,0.011381,-0.005372,-0.056626,-0.059414,0.101862,-0.067783,0.013925,-0.003185,-0.07976,0.026846,0.001599,-0.020998,-0.005177,0.018542,0.020069,-0.008901,0.066427,0.070064,-0.081982,0.005716,-0.075525,0.044094,0.020895,0.022359,-0.032292,0.027567,0.000632,0.025926,-0.010926,-0.033765
-0.005691,0.03303,-0.008754,-0.015522,0.006777,0.053414,0.008466,-0.070227,-0.084251,-0.004453,-0.017881,0.076933,-0.056859,0.007356,0.013602,0.028224,0.058159,-0.085666,0.005371,-0.016696,-0.044118,-0.041925,0.054503,0.017485,-0.010314,-0.003506,-0.002327,0.022218,-0.014859,-0.006948,0.013535,-0.046601,0.027854,-0.030041,-0.027751,0.022861,0.014133,0.000509,-0.010433,-0.02191,0.037128
-0.002871,0.028206,-0.018175,-0.002699,0.008912,0.049119,0.009319,-0.04046,-0.06999,-0.002636,-0.033626,0.080694,-0.049145,-0.008815,-0.013154,0.077939,0.035776,-0.077655,-0.002615,-0.055407,-0.0282,-0.042124,0.039912,0.008672,0.008935,0.000502,-0.005158,0.047561,0.016499,-0.032984,0.011753,-0.074461,0.037495,-0.010688,-0.018287,-0.001284,0.026624,0.008128,-0.00167,-0.030458,0.010072
0.012291,-0.012,-0.032666,0.011645,0.019509,0.003526,-0.000877,0.021448,-0.0086,-0.0057,-0.0394,0.046641,-0.012115,-0.047795,-0.060789,0.105614,-0.0329,-0.008319,0.002227,-0.092176,0.021553,-0.013978,-0.005192,-0.002425,0.029224,0.015363,-0.002262,0.066497,0.046259,-0.077753,0.009416,-0.081294,0.034313,0.010441,0.003346,-0.025522,0.04397,0.006946,0.021651,-0.004831,-0.028405
0.016814,-0.036757,-0.025085,0.010604,0.018512,-0.041456,-0.009646,0.032445,0.036197,-0.009092,-0.008314,-0.018848,0.012671,-0.056077,-0.068562,0.051817,-0.079526,0.061173,0.007098,-0.067814,0.043165,0.009981,-0.043024,-0.001966,0.035159,0.027075,0.005138,0.040656,0.015673,-0.090974,0.01196,-0.032141,0.010379,0.011202,0.027683,-0.019142,0.042261,0.005656,0.013487,0.030168,-0.034582
-0.003213,-0.000635,-0.005752,0.002739,-0.012375,-0.024833,0.018309,-0.011692,-0.011833,0.013937,0.024107,-0.041098,-0.000951,0.043444,0.059622,-0.100061,0.027572,-0.011166,0.017013,0.089475,-0.009136,0.017811,0.011899,0.008499,-0.039912,-0.000817,-0.015709,-0.062463,-0.016434,0.056022,-0.005614,0.063917,-0.011789,-0.026042,-0.016622,0.031127,-0.041336,-0.025186,0.00875,0.022357,0.032654
-0.021468,0.031598,0.006696,0.007611,-0.014987,0.038489,0.018912,0.009179,-0.047309,0.031947,-0.020535,0.018492,-0.003144,0.057357,0.055034,-0.01421,0.092218,-0.084641,-0.005041,0.057849,-0.034939,-0.006076,0.032986,-0.027492,-0.034261,-0.018285,-0.005814,-0.013459,0.035187,0.077144,-0.029353,-0.003665,0.010812,-0.006878,-0.031359,-0.012022,-0.051403,-0.016237,0.007784,-0.049353,0.024947
-0.015876,0.007359,0.01623,-0.002704,0.007399,0.052359,-0.029004,0.003096,-0.003176,0.00441,-0.030761,0.047912,0.005597,-0.015801,-0.030517,0.091153,0.02742,-0.01637,-0.032837,-0.042831,0.005682,-0.013762,0.002892,-0.034227,0.010088,-0.010894,0.032165,0.053184,0.026967,-0.011035,-0.012797,-0.050136,-0.001039,0.026404,0.008863,-0.048693,0.000788,0.022166,-0.029473,-0.072744,-0.02873
0.009493,-0.024933,0.020623,-0.005876,0.006117,-0.001416,-0.048393,-0.037446,0.038027,-0.023201,0.012391,-0.00503,0.00993,-0.049553,-0.050754,0.041908,-0.050925,0.073532,-0.026032,-0.048009,0.033677,0.007947,-0.021981,-0.012964,0.03145,0.019433,0.032139,0.027518,-0.036285,-0.058485,0.021811,-0.009746,-0.029649,0.014486,0.032942,-0.012197,0.026912,0.024094,-0.040929,-0.009801,-0.032435
0.032307,0.035918,0.013508,0.042824,-0.059947,-0.034652,0.022994,-0.067368,-0.064804,-0.047136,0.02205,-0.117592,-0.038759,0.019089,0.013757,-0.055963,0.001242,0.007482,-0.043008,0.005168,0.001625,-0.030789,-0.043236,-0.053449,0.054173,0.05964,-0.022568,0.008321,-0.081668,-0.113425,0.04241,0.012337,0.007759,-0.031722,0.031856,0.056108,0.037213,0.002526,-0.015553,0.01761,-0.011735
0.060803,-0.011307,-0.029902,-0.042512,0.11995,0.074228,-0.097111,-0.014515,0.003873,-0.027735,0.052754,-0.029372,0.026392,0.020381,-0.055765,-0.101247,0.017055,0.02592,-0.028031,0.060718,0.059544,-0.017834,0.0055,-0.034635,0.048879,0.020767,0.017161,0.043744,0.129763,0.047326,-0.061809,-0.009723,0.015261,-0.058266,0.047053,-0.031461,-0.046188,0.022615,0.066802,-0.027167,0.072237
0.14384,-0.054078,-0.010642,0.030153,0.127618,0.009179,-0.107845,0.057614,0.050542,-0.021283,0.05969,-0.015067,0.072816,0.019064,-0.014645,-0.03314,0.006566,-0.088788,0.029615,-0.042922,-0.057241,-0.048204,-0.007571,-0.020605,0.03101,-0.033723,-0.09775,-0.058557,-0.06628,0.084221,-0.025741,-0.050515,-0.032423,-0.011552,-0.006588,-0.086485,0.303007,-0.060565,-0.093292,-0.014473,0.109692
-0.041774,-0.12238,0.045577,-0.038233,-0.103674,0.081001,0.023365,0.028535,0.042983,-0.064167,0.086207,-0.041152,-0.038899,0.006831,0.006153,0.074912,-0.041057,0.002406,0.024835,0.081292,-0.037998,0.006996,-0.023434,0.075363,-0.024221,0.065144,-0.008853,0.13839,0.006691,0.044321,0.004439,-0.031198,0.002106,-0.004862,-0.026207,0.113028,-0.192232,0.031433,0.117057,-0.056485,-0.097195
0.010168,0.061212,0.039798,-0.019356,-0.023641,0.039515,0.014189,0.063399,-0.000771,-0.02156,-0.00882,-0.023984,0.040846,0.038643,-0.003823,-0.004264,0.092382,-0.003897,-0.01284,0.005388,0.066217,0.000048,-0.035703,-0.122488,0.048979,-0.004437,0.029812,-0.043988,-0.068369,-0.02805,-0.029603,0.053757,-0.111765,0.009662,-0.099747,0.00274,0.021533,0.033103,-0.020995,0.068875,-0.065926
