# # Time 	 h_plus 	 h_cross 
# 
-4.089999999999998863e+02	4.096270015804211184e-02	9.518412685926209982e-02
-4.079999999999998863e+02	4.900576535134424511e-02	9.120302529759938270e-02
-4.069999999999998863e+02	5.668279791440850035e-02	8.653849337015616372e-02
-4.059999999999998863e+02	6.393539245748561251e-02	8.122333419018026857e-02
-4.049999999999998863e+02	7.070828044018559466e-02	7.529523044790119302e-02
-4.039999999999998863e+02	7.694894468027202450e-02	6.879716190540881293e-02
-4.029999999999998863e+02	8.260900829121571587e-02	6.177638056737350114e-02
-4.019999999999998863e+02	8.764458337671261756e-02	5.428497304357686459e-02
-4.009999999999998863e+02	9.201613948507136875e-02	4.637827772857358588e-02
-3.999999999999998863e+02	9.568822148681360718e-02	3.811458321421341139e-02
-3.989999999999998863e+02	9.863119775039121129e-02	2.955554126946038224e-02
-3.979999999999998863e+02	1.008209008859968780e-01	2.076542393299907890e-02
-3.969999999999998863e+02	1.022389196624224894e-01	1.181042767980061518e-02
-3.959999999999998863e+02	1.028743298430905700e-01	2.758114931134759452e-03
-3.949999999999998863e+02	1.027200031297171856e-01	-6.323249414882883661e-03
-3.939999999999998863e+02	1.017732542737456586e-01	-1.536438849076353363e-02
-3.929999999999998863e+02	1.000391406895090457e-01	-2.429592325007924949e-02
-3.919999999999998863e+02	9.752898456169030450e-02	-3.304876198768218198e-02
-3.909999999999998863e+02	9.426035056810765089e-02	-4.155578016267340996e-02
-3.899999999999998863e+02	9.025639345854991058e-02	-4.975098072901797813e-02
-3.889999999999998863e+02	8.554554271526536302e-02	-5.757046172538585194e-02
-3.879999999999998863e+02	8.016205579064905606e-02	-6.495321909223447654e-02
-3.869999999999998863e+02	7.414571213737460031e-02	-7.184106961013352055e-02
-3.859999999999998863e+02	6.754123443782468483e-02	-7.818023029563510307e-02
-3.849999999999998863e+02	6.039756553257215332e-02	-8.391968978718350458e-02
-3.839999999999998863e+02	5.276776709870763943e-02	-8.901345744616674660e-02
-3.829999999999998863e+02	4.470907433054822910e-02	-9.342001808086093650e-02
-3.819999999999998863e+02	3.628220801795399575e-02	-9.710169131675919219e-02
-3.809999999999998863e+02	2.755139574186405566e-02	-1.000285703015682537e-01
-3.799999999999998863e+02	1.858311689509042561e-02	-1.021758117095676599e-01
-3.789999999999998863e+02	9.445958870870447763e-03	-1.035237647641773229e-01
-3.779999999999998863e+02	2.103151150633132964e-04	-1.040578569224033800e-01
-3.769999999999998863e+02	-9.052127637570194646e-03	-1.037720358578404917e-01
-3.759999999999998863e+02	-1.826961955608870716e-02	-1.026653812553179751e-01
-3.749999999999998863e+02	-2.737083380878984826e-02	-1.007429825750311703e-01
-3.739999999999998863e+02	-3.628451800117467319e-02	-9.801604686236224662e-02
-3.729999999999998863e+02	-4.494025969135062581e-02	-9.450076108170357703e-02
-3.719999999999998863e+02	-5.326896628562275554e-02	-9.022177222806561370e-02
-3.709999999999998863e+02	-6.120424998777639763e-02	-8.520952724454053384e-02
-3.699999999999998863e+02	-6.868261580108663000e-02	-7.949925418170053493e-02
-3.689999999999998863e+02	-7.564294735707068063e-02	-7.313275549302918066e-02
-3.679999999999998863e+02	-8.202762219337547678e-02	-6.615603760727338523e-02
-3.669999999999998863e+02	-8.778356800033587648e-02	-5.862012698791606302e-02
-3.659999999999998863e+02	-9.286146845077014600e-02	-5.058182924765623756e-02
-3.649999999999998863e+02	-9.721749209082504450e-02	-4.210183450727213866e-02
-3.639999999999998863e+02	-1.008133369765133874e-01	-3.324448110477772056e-02
-3.629999999999998863e+02	-1.036159570992774004e-01	-2.407779131131389944e-02
-3.619999999999998863e+02	-1.055956284115705940e-01	-1.467194120869165161e-02
-3.609999999999998863e+02	-1.067329921545600441e-01	-5.101118084868900074e-03
-3.599999999999998863e+02	-1.070140275292786325e-01	4.558997723582857223e-03
-3.589999999999998863e+02	-1.064316470400549636e-01	1.423155929399584976e-02
-3.579999999999998863e+02	-1.049857557125237761e-01	2.383932240948196529e-02
-3.569999999999998863e+02	-1.026831762928547692e-01	3.330542841659689390e-02
-3.559999999999998863e+02	-9.953747223235917541e-02	4.255407092547846409e-02
-3.549999999999998863e+02	-9.556904611351670076e-02	5.151044729574856540e-02
-3.539999999999998863e+02	-9.080494089613533326e-02	6.010172662269792215e-02
-3.529999999999998863e+02	-8.526150844278658492e-02	6.824456803294343121e-02
-3.519999999999998863e+02	-7.899039169463262233e-02	7.587492828413161527e-02
-3.509999999999998863e+02	-7.203776122261583426e-02	8.292703166764456291e-02
-3.499999999999998863e+02	-6.445555107163269959e-02	8.933931259480669407e-02
-3.489999999999998863e+02	-5.630191694927300788e-02	9.505432526623124045e-02
-3.479999999999998863e+02	-4.763988632465490647e-02	1.000200702178773576e-01
