# # Time 	 h_plus 	 h_cross 
# 
-4.089999999999998863e+02	1.165590793187977481e-01	7.662640875049074596e-02
-4.079999999999998863e+02	1.220995880268047756e-01	6.759740675795250509e-02
-4.069999999999998863e+02	1.269436892266195271e-01	5.815286118943057553e-02
-4.059999999999998863e+02	1.310599192436956995e-01	4.834654893449526203e-02
-4.049999999999998863e+02	1.344207765317496084e-01	3.823523721228763717e-02
-4.039999999999998863e+02	1.370025792951054533e-01	2.787734978730804433e-02
-4.029999999999998863e+02	1.387867118083972173e-01	1.733328812584964546e-02
-4.019999999999998863e+02	1.397596407272353736e-01	6.664829940954407859e-03
-4.009999999999998863e+02	1.399113957316147350e-01	-4.065200639863712079e-03
-3.999999999999998863e+02	1.392375160260207190e-01	-1.479230941065316600e-02
-3.989999999999998863e+02	1.377387333550812998e-01	-2.545195077269528372e-02
-3.979999999999998863e+02	1.354209617985019098e-01	-3.597966442680698707e-02
-3.969999999999998863e+02	1.322973780801994237e-01	-4.631223774288186629e-02
-3.959999999999998863e+02	1.283816112619892980e-01	-5.638525331063696383e-02
-3.949999999999998863e+02	1.236938558431285445e-01	-6.613677443680819612e-02
-3.939999999999998863e+02	1.182592746316337706e-01	-7.550707315406753051e-02
-3.929999999999998863e+02	1.121081412348109430e-01	-8.443768688708121195e-02
-3.919999999999998863e+02	1.052755131082539208e-01	-9.287245626352484684e-02
-3.909999999999998863e+02	9.780123469545302928e-02	-1.007579031208204606e-01
-3.899999999999998863e+02	8.972899881494467156e-02	-1.080445337250291182e-01
-3.889999999999998863e+02	8.110627174631816760e-02	-1.146853830812041980e-01
-3.879999999999998863e+02	7.198481318126634387e-02	-1.206373036424315259e-01
-3.869999999999998863e+02	6.241941978699271087e-02	-1.258615930235591762e-01
-3.859999999999998863e+02	5.246797605036271350e-02	-1.303239003013503261e-01
-3.849999999999998863e+02	4.219177921125198683e-02	-1.339942061359954695e-01
-3.839999999999998863e+02	3.165379497928662994e-02	-1.368471856759825578e-01
-3.829999999999998863e+02	2.091846863088297342e-02	-1.388641348571702794e-01
-3.819999999999998863e+02	1.005222682179430886e-02	-1.400304833596455745e-01
-3.809999999999998863e+02	-8.775525239105300612e-04	-1.403367796925747424e-01
-3.799999999999998863e+02	-1.180307313512024212e-02	-1.397786151840503255e-01
-3.789999999999998863e+02	-2.265524712733461496e-02	-1.383580862502805653e-01
-3.779999999999998863e+02	-3.336710541269581609e-02	-1.360818734457205914e-01
-3.769999999999998863e+02	-4.387141996577584302e-02	-1.329617169106448171e-01
-3.759999999999998863e+02	-5.410099553740257972e-02	-1.290135540354640786e-01
-3.749999999999998863e+02	-6.399234872343743941e-02	-1.242614054370327764e-01
-3.739999999999998863e+02	-7.348325936510180512e-02	-1.187323494532060569e-01
-3.729999999999998863e+02	-8.251160796615951420e-02	-1.124573382419578604e-01
-3.719999999999998863e+02	-9.101844807606650212e-02	-1.054742128434426468e-01
-3.709999999999998863e+02	-9.894930614465512198e-02	-9.782567363368636915e-02
-3.699999999999998863e+02	-1.062519842340876181e-01	-8.955813752055559462e-02
-3.689999999999998863e+02	-1.128772516132186265e-01	-8.072290405886624332e-02
-3.679999999999998863e+02	-1.187803851424563406e-01	-7.137465518154700872e-02
-3.669999999999998863e+02	-1.239193888055929449e-01	-6.157037075825962102e-02
-3.659999999999998863e+02	-1.282596851664313531e-01	-5.137183984873659043e-02
-3.649999999999998863e+02	-1.317704388640143220e-01	-4.084579879121253559e-02
-3.639999999999998863e+02	-1.344263889330979955e-01	-3.005933559393130991e-02
-3.629999999999998863e+02	-1.362075364600436878e-01	-1.908228703110750879e-02
-3.619999999999998863e+02	-1.370996420123832549e-01	-7.986522140037153120e-03
-3.609999999999998863e+02	-1.370944747928247165e-01	3.155461636227394149e-03
-3.599999999999998863e+02	-1.361903345134264087e-01	1.427067931978349448e-02
-3.589999999999998863e+02	-1.343917353875339893e-01	2.528664128615458473e-02
-3.579999999999998863e+02	-1.317071183688153790e-01	3.613051817220417489e-02
-3.569999999999998863e+02	-1.281510212696209960e-01	4.673010665315043000e-02
-3.559999999999998863e+02	-1.237440503866821390e-01	5.701433180183439892e-02
-3.549999999999998863e+02	-1.185122917732048115e-01	6.691468528704026808e-02
-3.539999999999998863e+02	-1.124875599977779861e-01	7.636443980924959019e-02
-3.529999999999998863e+02	-1.057072697215999668e-01	8.529938073173853885e-02
-3.519999999999998863e+02	-9.821465084820428515e-02	9.365868855915432389e-02
-3.509999999999998863e+02	-9.005640090661790054e-02	1.013836925232615011e-01
-3.499999999999998863e+02	-8.128461111382075110e-02	1.084202620593820304e-01
-3.489999999999998863e+02	-7.195606851508647150e-02	1.147188749683200337e-01
-3.479999999999998863e+02	-6.213156282754782322e-02	1.202330347602011823e-01
-3.469999999999998863e+02	-5.187627320969182693e-02	1.249217132552042087e-01
-3.459999999999998863e+02	-4.125889136843414323e-02	1.287493453377981378e-01
-3.449999999999998863e+02	-3.035150572734146221e-02	1.316865017882207500e-01
-3.439999999999998863e+02	-1.922907958448279164e-02	1.337088364005444008e-01
-3.429999999999998863e+02	-7.966569003155708067e-03	1.347988714930979381e-01
-3.419999999999998863e+02	3.358609622269451492e-03	1.349451345564092741e-01
-3.409999999999998863e+02	1.466734988193385200e-02	1.341410301655776571e-01
-3.399999999999998863e+02	2.588027943327786407e-02	1.323863870067907567e-01
-3.389999999999998863e+02	3.691831776951935012e-02	1.296928969892388872e-01
-3.379999999999998863e+02	4.770312634316267730e-02	1.260759436187921523e-01
-3.369999999999998863e+02	5.815805359079847386e-02	1.215571470570979695e-01
-3.359999999999998863e+02	6.820852587760962982e-02	1.161640969223223935e-01
-3.349999999999998863e+02	7.778067715537960447e-02	1.099312982238909164e-01
-3.339999999999998863e+02	8.680283649014639002e-02	1.028981162879762518e-01
-3.329999999999998863e+02	9.520829685750502314e-02	9.511233851999152666e-02
-3.319999999999998863e+02	1.029344014483229014e-01	8.662710428241203464e-02
-3.309999999999998863e+02	1.099223407115234447e-01	7.750015094815732031e-02
-3.299999999999998863e+02	1.161172514814859530e-01	6.779358364849748242e-02
-3.289999999999998863e+02	1.214702993421482163e-01	5.757549025423779054e-02
-3.279999999999998863e+02	1.259393827330104465e-01	4.691860037050634563e-02
-3.269999999999998863e+02	1.294878802644662263e-01	3.589867658352315083e-02
-3.259999999999998863e+02	1.320856706026626859e-01	2.459426136871265683e-02
-3.249999999999998863e+02	1.337091576930767578e-01	1.308720396079737606e-02
-3.239999999999998863e+02	1.343418416390438352e-01	1.460747588243166287e-03
-3.229999999999998863e+02	1.339742873998851225e-01	-1.020035473510841513e-02
-3.219999999999998863e+02	1.326045857296465624e-01	-2.180871469397392681e-02
-3.209999999999998863e+02	1.302384686433339378e-01	-3.327804915584595125e-02
-3.199999999999998863e+02	1.268894399419830121e-01	-4.452198001269599970e-02
-3.189999999999998863e+02	1.225792573467857915e-01	-5.545600790776943068e-02
-3.179999999999998863e+02	1.173435813361031615e-01	-6.600170175753247714e-02
-3.169999999999998863e+02	1.112073228120178392e-01	-7.607406759122870010e-02
-3.159999999999998863e+02	1.042123759611663092e-01	-8.559469336435819586e-02
-3.149999999999998863e+02	9.640759594818962275e-02	-9.448907176146970066e-02
-3.139999999999998863e+02	8.784858977815550307e-02	-1.026870322413507841e-01
-3.129999999999998863e+02	7.859732034094468744e-02	-1.101233958636924637e-01
-3.119999999999998863e+02	6.872152005700099542e-02	-1.167386628163830792e-01
-3.109999999999998863e+02	5.829380752679819838e-02	-1.224796817286501610e-01
-3.099999999999998863e+02	4.739160784789130110e-02	-1.272997402024731717e-01
-3.089999999999998863e+02	3.609659127816918639e-02	-1.311622321384231238e-01
-3.079999999999998863e+02	2.449204592628891758e-02	-1.340326518773723441e-01
-3.069999999999998863e+02	1.266472831439519574e-02	-1.358830267366808175e-01
-3.059999999999998863e+02	7.043120819628012532e-04	-1.366952924791295099e-01
-3.049999999999998863e+02	-1.129950670614022872e-02	-1.364592053810260996e-01
-3.039999999999998863e+02	-2.325556351829599286e-02	-1.351708069426676428e-01
-3.029999999999998863e+02	-3.507227351856294362e-02	-1.328361023032665900e-01
-3.019999999999998863e+02	-4.665904489878550110e-02	-1.294701250633084888e-01
-3.009999999999998863e+02	-5.792640727811938783e-02	-1.250944575444434270e-01
-2.999999999999998863e+02	-6.878441700326941299e-02	-1.197342737021980380e-01
-2.989999999999998863e+02	-7.914588550565997138e-02	-1.134272871137470273e-01
-2.979999999999998863e+02	-8.893265650053604199e-02	-1.062214866704666166e-01
-2.969999999999998863e+02	-9.806812214596755117e-02	-9.816868233149991796e-02
-2.959999999999998863e+02	-1.064802278812585212e-01	-8.932698559681978567e-02
-2.949999999999998863e+02	-1.141017170565552796e-01	-7.976078087264354410e-02
-2.939999999999998863e+02	-1.208714028245872762e-01	-6.953927969877565785e-02
-2.929999999999998863e+02	-1.267337914759444628e-01	-5.873690464662186667e-02
-2.919999999999998863e+02	-1.316389661397886213e-01	-4.743456481752567760e-02
-2.909999999999998863e+02	-1.355425739172133881e-01	-3.571605331276734435e-02
-2.899999999999998863e+02	-1.384107333479238089e-01	-2.366991257471838528e-02
-2.889999999999998863e+02	-1.402180149100705486e-01	-1.138681809400123209e-02
-2.879999999999998863e+02	-1.409453614384879039e-01	1.039021025083797451e-03
-2.869999999999998863e+02	-1.405822211428164326e-01	1.351258855559758429e-02
-2.859999999999998863e+02	-1.391264463711122945e-01	2.593842682460528390e-02
-2.849999999999998863e+02	-1.365871009675559133e-01	3.822136100323903635e-02
-2.839999999999998863e+02	-1.329767938682645256e-01	5.026617238819023475e-02
-2.829999999999998863e+02	-1.283159853314110588e-01	6.197802909604598065e-02
-2.819999999999998863e+02	-1.226356061498814765e-01	7.326475264452825265e-02
-2.809999999999998863e+02	-1.159783045205658725e-01	8.403934681768555903e-02
-2.799999999999998863e+02	-1.083897885203506106e-01	9.421592140691045780e-02
-2.789999999999998863e+02	-9.992116077645109284e-02	1.037113560360124753e-01
-2.779999999999998863e+02	-9.063380407361530666e-02	1.124479933306264251e-01
-2.769999999999998863e+02	-8.059496561042851781e-02	1.203547282479161262e-01
-2.759999999999998863e+02	-6.987855990400970718e-02	1.273661705495963414e-01
-2.749999999999998863e+02	-5.856592666802925423e-02	1.334255036562644881e-01
-2.739999999999998863e+02	-4.673992482470688131e-02	1.384792772144179396e-01
