# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000000000e+02	1.072366534430678059e-01	-7.431186587526644738e-02
-4.080000000000000000e+02	1.010739220080824202e-01	-8.274864679914092913e-02
-4.070000000000000000e+02	9.424960406627092002e-02	-9.068498390208935833e-02
-4.060000000000000000e+02	8.680332020924590164e-02	-9.806795480770173767e-02
-4.050000000000000000e+02	7.877962051783823916e-02	-1.048483680502089316e-01
-4.040000000000000000e+02	7.022684985553701020e-02	-1.109803577279468711e-01
-4.030000000000000000e+02	6.119728514321026713e-02	-1.164218449055758192e-01
-4.020000000000000000e+02	5.174630879564917629e-02	-1.211351631092193182e-01
-4.010000000000000000e+02	4.193213648999726678e-02	-1.250871627097920324e-01
-4.000000000000000000e+02	3.181629397083977212e-02	-1.282491615749223324e-01
-3.990000000000000000e+02	2.146145978263341511e-02	-1.305968122635218776e-01
-3.980000000000000000e+02	1.093296402274225934e-02	-1.321114820930343325e-01
-3.970000000000000000e+02	2.976124771099890451e-04	-1.327804032712248117e-01
-3.960000000000000000e+02	-1.037720026043216157e-02	-1.325956167228765081e-01
-3.950000000000000000e+02	-2.102325698553354424e-02	-1.315544948538739933e-01
-3.940000000000000000e+02	-3.157172110106539614e-02	-1.296599218815036869e-01
-3.930000000000000000e+02	-4.195523617619031920e-02	-1.269198327630512435e-01
-3.920000000000000000e+02	-5.210602612927647120e-02	-1.233467173954345963e-01
-3.910000000000000000e+02	-6.195869087556609561e-02	-1.189608338766359741e-01
-3.900000000000000000e+02	-7.144886331843403049e-02	-1.137860992776377894e-01
-3.890000000000000000e+02	-8.051387601135749639e-02	-1.078510571632000509e-01
-3.880000000000000000e+02	-8.909342641334956625e-02	-1.011889821816942397e-01
-3.870000000000000000e+02	-9.712972161543623195e-02	-9.383950323657699877e-02
-3.860000000000000000e+02	-1.045679005604895628e-01	-8.584610525775895895e-02
-3.850000000000000000e+02	-1.113565669723303869e-01	-7.725647734007071166e-02
-3.840000000000000000e+02	-1.174458973320499089e-01	-6.812199302506778686e-02
