# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000001137e+02	4.517375262113929035e-02	1.625986805222608134e-01
-4.080000000000001137e+02	5.860283078546996843e-02	1.583337154698523930e-01
-4.070000000000001137e+02	7.164815666506761660e-02	1.529540971944941818e-01
-4.060000000000001137e+02	8.421754518616571261e-02	1.464935155147899515e-01
-4.050000000000001137e+02	9.622043938593194401e-02	1.389936968596216516e-01
-4.040000000000001137e+02	1.075701279282234579e-01	1.305041971148831748e-01
-4.030000000000001137e+02	1.181854315165118130e-01	1.210825172513128323e-01
-4.020000000000001137e+02	1.279884113582546445e-01	1.107911241658959128e-01
-4.010000000000001137e+02	1.369065571335404963e-01	9.969929495377527484e-02
-4.000000000000001137e+02	1.448739263256864918e-01	8.788213613118218970e-02
-3.990000000000001137e+02	1.518310556358642149e-01	7.542045256727281100e-02
-3.980000000000001137e+02	1.577249254931760991e-01	6.239927344681481247e-02
-3.970000000000001137e+02	1.625090503884469018e-01	4.890988604228824893e-02
-3.960000000000001137e+02	1.661454375048301291e-01	3.504695780866263349e-02
-3.950000000000001137e+02	1.686042134663499059e-01	2.090887661604586695e-02
-3.940000000000001137e+02	1.698624089866761500e-01	6.595184198185230842e-03
-3.930000000000001137e+02	1.699061408458238387e-01	-7.792268525741197736e-03
-3.920000000000001137e+02	1.687301655024957825e-01	-2.214956507060551055e-02
-3.910000000000001137e+02	1.663394460729485658e-01	-3.637205470804894675e-02
-3.900000000000001137e+02	1.627455754580287017e-01	-5.035874890198770853e-02
-3.890000000000001137e+02	1.579688704228626450e-01	-6.400767789531922047e-02
-3.880000000000001137e+02	1.520423708163179677e-01	-7.722074276576798568e-02
-3.870000000000001137e+02	1.450055263388518867e-01	-8.990164631223229730e-02
-3.860000000000001137e+02	1.369065330232780153e-01	-1.019572497512363507e-01
-3.850000000000001137e+02	1.278012730864891422e-01	-1.132998417013739850e-01
-3.840000000000001137e+02	1.177509749592385579e-01	-1.238420701088671499e-01
-3.830000000000001137e+02	1.068268217695190758e-01	-1.335042095873809898e-01
-3.820000000000001137e+02	9.510459286866577988e-02	-1.422141058208718223e-01
-3.810000000000001137e+02	8.266559054341914015e-02	-1.499039473482674523e-01
-3.800000000000001137e+02	6.959788167030396544e-02	-1.565132995740839694e-01
-3.790000000000001137e+02	5.599448558664086445e-02	-1.619894060365759114e-01
-3.780000000000001137e+02	4.195206008768780082e-02	-1.662876833506021224e-01
-3.770000000000001137e+02	2.757133664035406675e-02	-1.693692054117298396e-01
-3.760000000000001137e+02	1.295596278323537728e-02	-1.712070011999393404e-01
-3.750000000000001137e+02	-1.786150361275454668e-03	-1.717848255071508790e-01
-3.740000000000001137e+02	-1.654488284670723591e-02	-1.710937050327374642e-01
-3.730000000000001137e+02	-3.121057645960258545e-02	-1.691344260335859717e-01
-3.720000000000001137e+02	-4.567374893565291638e-02	-1.659188066135242889e-01
-3.710000000000001137e+02	-5.982571099746946536e-02	-1.614640339232168709e-01
-3.700000000000001137e+02	-7.356066399422321600e-02	-1.557981245422586647e-01
-3.690000000000001137e+02	-8.677341841740235373e-02	-1.489580694615468270e-01
-3.680000000000001137e+02	-9.936388491881886775e-02	-1.409907956694620990e-01
-3.670000000000001137e+02	-1.112370336383430580e-01	-1.319511365952215631e-01
-3.660000000000001137e+02	-1.223031745296614958e-01	-1.219003906482938049e-01
-3.650000000000001137e+02	-1.324744682986203348e-01	-1.109099066001429934e-01
-3.640000000000001137e+02	-1.416702516567975578e-01	-9.905923491470362829e-02
-3.630000000000001137e+02	-1.498169141754041311e-01	-8.643428761203864052e-02
-3.620000000000001137e+02	-1.568490635384412468e-01	-7.312723069656802688e-02
-3.610000000000001137e+02	-1.627086329953368327e-01	-5.923606579637692715e-02
-3.600000000000001137e+02	-1.673450808062772188e-01	-4.486409649693610252e-02
-3.590000000000001137e+02	-1.707176553940422115e-01	-3.011902659311071345e-02
-3.580000000000001137e+02	-1.727951096724758828e-01	-1.511249786210302343e-02
-3.570000000000001137e+02	-1.735560890887099250e-01	4.311044938384384968e-05
-3.560000000000001137e+02	-1.729869010685309849e-01	1.523252793788059008e-02
-3.550000000000001137e+02	-1.710886193916493492e-01	3.033953612318732174e-02
-3.540000000000001137e+02	-1.678702118673697508e-01	4.524811527892916296e-02
-3.530000000000001137e+02	-1.633507140024473836e-01	5.984312135846214797e-02
-3.520000000000001137e+02	-1.575592133521841187e-01	7.401100841582794465e-02
-3.510000000000001137e+02	-1.505353760752120018e-01	8.764124760830149796e-02
-3.500000000000001137e+02	-1.423270852895842098e-01	1.006253768339460536e-01
-3.490000000000001137e+02	-1.329922456402628239e-01	1.128593498334559686e-01
-3.480000000000001137e+02	-1.225982684339833317e-01	1.242443814163153998e-01
-3.470000000000001137e+02	-1.112206928049593452e-01	1.346882948012596559e-01
-3.460000000000001137e+02	-9.894328624643722314e-02	1.441053334285674892e-01
-3.450000000000001137e+02	-8.585778068035776478e-02	1.524167925663222900e-01
