# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000000000e+02	-5.751001685204507746e-02	-1.282060672515252242e-01
-4.080000000000000000e+02	-6.817989449178070427e-02	-1.230502591677812979e-01
-4.070000000000000000e+02	-7.839811580768546451e-02	-1.170052654901326122e-01
-4.060000000000000000e+02	-8.808931519985906122e-02	-1.101093341502958900e-01
-4.050000000000000000e+02	-9.718380223611919333e-02	-1.024080480095374279e-01
-4.040000000000000000e+02	-1.056147086454699985e-01	-9.395211082063409380e-02
-4.030000000000000000e+02	-1.133193537271242612e-01	-8.479764582634746750e-02
-4.020000000000000000e+02	-1.202395042549847110e-01	-7.500607279955825990e-02
-4.010000000000000000e+02	-1.263226292145480378e-01	-6.464401436380617927e-02
-4.000000000000000000e+02	-1.315213849858093142e-01	-5.378250677224698933e-02
-3.990000000000000000e+02	-1.357947017356219421e-01	-4.249698905070668775e-02
-3.980000000000000000e+02	-1.391074822960207125e-01	-3.086555154618867911e-02
-3.970000000000000000e+02	-1.414308701747639674e-01	-1.896918965032282078e-02
-3.960000000000000000e+02	-1.427430243962461431e-01	-6.891447052818391351e-03
-3.950000000000000000e+02	-1.430291023486178204e-01	5.282209433766150986e-03
-3.940000000000000000e+02	-1.422814391778414456e-01	1.746505976415848801e-02
-3.930000000000000000e+02	-1.404995191170385904e-01	2.957036206961867475e-02
-3.920000000000000000e+02	-1.376905028782462459e-01	4.150943680170233324e-02
-3.910000000000000000e+02	-1.338690483898636596e-01	5.319494265366993963e-02
-3.900000000000000000e+02	-1.290601290807851242e-01	6.454227799315238878e-02
-3.890000000000000000e+02	-1.232917420841820322e-01	7.546707069870928208e-02
-3.880000000000000000e+02	-1.165997813905666897e-01	8.588729308264086981e-02
-3.870000000000000000e+02	-1.090277293119051583e-01	9.572442565202927967e-02
-3.860000000000000000e+02	-1.006254281446534032e-01	1.049040479372188306e-01
-3.850000000000000000e+02	-9.144920134402501066e-02	1.133557735216862705e-01
-3.840000000000000000e+02	-8.156121081302940279e-02	1.210141039091113119e-01
-3.830000000000000000e+02	-7.102996868078886861e-02	1.278183369867634256e-01
-3.820000000000000000e+02	-5.992909849311615217e-02	1.337138230853477106e-01
-3.810000000000000000e+02	-4.833682858244764402e-02	1.386531517713059380e-01
-3.800000000000000000e+02	-3.633439610900892486e-02	1.425935492830242290e-01
-3.790000000000000000e+02	-2.400743073529650051e-02	1.454999265423874144e-01
-3.780000000000000000e+02	-1.144514953838626087e-02	1.473450118525227726e-01
-3.770000000000000000e+02	1.261087329778369905e-03	1.481083530949290628e-01
-3.760000000000000000e+02	1.401830678382165983e-02	1.477777093931053887e-01
-3.750000000000000000e+02	2.673202596999786629e-02	1.463488882641088284e-01
-3.740000000000000000e+02	3.930781361838742161e-02	1.438257821710850481e-01
-3.730000000000000000e+02	5.165120905515793726e-02	1.402204792525663657e-01
