# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000000000e+02	1.670574107983336110e-01	2.056682498851812244e-02
-4.080000000000000000e+02	1.682871606110760143e-01	6.972547147891482860e-03
-4.070000000000000000e+02	1.684094258040359227e-01	-6.695567557551205216e-03
-4.060000000000000000e+02	1.674197796045019393e-01	-2.034765063866047358e-02
-4.050000000000000000e+02	1.653207251693272484e-01	-3.389342016405714336e-02
-4.040000000000000000e+02	1.621220555295193044e-01	-4.724280926998802171e-02
-4.030000000000000000e+02	1.578394575851407022e-01	-6.030606215901931910e-02
-4.020000000000000000e+02	1.524983928674960021e-01	-7.299539477809902088e-02
-4.010000000000000000e+02	1.461307433931647581e-01	-8.522487678417936530e-02
-4.000000000000000000e+02	1.387751748954180187e-01	-9.691118309213832271e-02
-3.990000000000000000e+02	1.304771155617570622e-01	-1.079741657577337755e-01
-3.980000000000000000e+02	1.212885014309214582e-01	-1.183374006440169879e-01
-3.970000000000000000e+02	1.112674779620541204e-01	-1.279287142764995444e-01
-3.960000000000000000e+02	1.004779009569956583e-01	-1.366808037946093402e-01
-3.950000000000000000e+02	8.898930831346453518e-02	-1.445314019515227810e-01
-3.940000000000000000e+02	7.687660158029552271e-02	-1.514237959148095891e-01
-3.930000000000000000e+02	6.421863150413771593e-02	-1.573064575288712907e-01
-3.920000000000000000e+02	5.109911710733729129e-02	-1.621370004356652017e-01
-3.910000000000000000e+02	3.760532823005191538e-02	-1.658788705232575045e-01
-3.900000000000000000e+02	2.382763681456552540e-02	-1.685021084935053037e-01
-3.890000000000000000e+02	9.858584421244973028e-03	-1.699843108641614919e-01
-3.880000000000000000e+02	-4.207452372549772696e-03	-1.703107214524840485e-01
-3.870000000000000000e+02	-1.827490688503590963e-02	-1.694743848565828104e-01
-3.860000000000000000e+02	-3.224763470461751436e-02	-1.674762498404861466e-01
-3.850000000000000000e+02	-4.602954349993920724e-02	-1.643252541547995382e-01
-3.840000000000000000e+02	-5.952544036487025098e-02	-1.600382945584613026e-01
-3.830000000000000000e+02	-7.264125495324429138e-02	-1.546400250343695770e-01
-3.820000000000000000e+02	-8.528503309943828714e-02	-1.481630242595144697e-01
-3.810000000000000000e+02	-9.736793581725809721e-02	-1.406480322796000715e-01
-3.800000000000000000e+02	-1.088038672249061894e-01	-1.321421798674593251e-01
-3.790000000000000000e+02	-1.195107598600392146e-01	-1.227000499741523892e-01
-3.780000000000000000e+02	-1.294112583327683141e-01	-1.123830186347778565e-01
-3.770000000000000000e+02	-1.384328422913830847e-01	-1.012592506391535169e-01
-3.760000000000000000e+02	-1.465086947211306778e-01	-8.940308542829707161e-02
-3.750000000000000000e+02	-1.535783167880588329e-01	-7.689443011062438438e-02
-3.740000000000000000e+02	-1.595879569252672547e-01	-6.381830325768814149e-02
-3.730000000000000000e+02	-1.644910430792460854e-01	-5.026425861121996269e-02
-3.720000000000000000e+02	-1.682486458733545853e-01	-3.632546895650434760e-02
-3.710000000000000000e+02	-1.708296911121819084e-01	-2.209804414437902334e-02
-3.700000000000000000e+02	-1.722116396605004041e-01	-7.680843221139876074e-03
-3.690000000000000000e+02	-1.723789150757072675e-01	6.825466063351557158e-03
-3.680000000000000000e+02	-1.713247511624663988e-01	2.131875328178090001e-02
-3.670000000000000000e+02	-1.690510949322772960e-01	3.569623986856857584e-02
-3.660000000000000000e+02	-1.655687450695300655e-01	4.985529756103831284e-02
-3.650000000000000000e+02	-1.608965060909060829e-01	6.369382980385279724e-02
-3.640000000000000000e+02	-1.550622486959142010e-01	7.711108339756483909e-02
-3.630000000000000000e+02	-1.481012415754785205e-01	9.000896062941812770e-02
-3.620000000000000000e+02	-1.400586607235184133e-01	1.022924306084235929e-01
-3.610000000000000000e+02	-1.309880121085570948e-01	1.138705729795173316e-01
-3.600000000000000000e+02	-1.209500264104939465e-01	1.246567983583384415e-01
-3.590000000000000000e+02	-1.100127692240610855e-01	1.345694309175770320e-01
-3.580000000000000000e+02	-9.825142230702774149e-02	1.435327958990452180e-01
-3.570000000000000000e+02	-8.574754715681938422e-02	1.514776242932935613e-01
-3.560000000000000000e+02	-7.258852827985654010e-02	1.583415313968432325e-01
-3.550000000000000000e+02	-5.886716176761263436e-02	1.640699634432467025e-01
-3.540000000000000000e+02	-4.468076033888785520e-02	1.686157114857740891e-01
-3.530000000000000000e+02	-3.013056895744188265e-02	1.719394698297584956e-01
-3.520000000000000000e+02	-1.532135061333725172e-02	1.740108410114037385e-01
-3.510000000000000000e+02	-3.605289561877683831e-04	1.748083518975429296e-01
-3.500000000000000000e+02	1.464266143428050518e-02	1.743196888593841754e-01
-3.490000000000000000e+02	2.957805559356888048e-02	1.725404813690573913e-01
