# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000000000e+02	-2.222217194411221092e-02	-9.771774824376333601e-02
-4.080000000000000000e+02	-2.878849099644467668e-02	-9.599860470157758896e-02
-4.070000000000000000e+02	-3.522367940300011324e-02	-9.383737753157826711e-02
-4.060000000000000000e+02	-4.149792080350674095e-02	-9.124536871525100457e-02
-4.050000000000000000e+02	-4.758205577079149817e-02	-8.823457336322003408e-02
-4.040000000000000000e+02	-5.344766011541838419e-02	-8.481787556025724428e-02
-4.030000000000000000e+02	-5.906815042367209723e-02	-8.101115815621551253e-02
-4.020000000000000000e+02	-6.441817315233930308e-02	-7.683361947938943670e-02
-4.010000000000000000e+02	-6.947231313541578357e-02	-7.230379740742727546e-02
-4.000000000000000000e+02	-7.420619733576057364e-02	-6.744232101437259985e-02
-3.990000000000000000e+02	-7.859797072385292516e-02	-6.227098924408387692e-02
-3.980000000000000000e+02	-8.262828254038104281e-02	-5.681372029596665901e-02
-3.970000000000000000e+02	-8.627837903469519343e-02	-5.109546515419853552e-02
-3.960000000000000000e+02	-8.953208764432882272e-02	-4.514252408734082539e-02
-3.950000000000000000e+02	-9.237487882889020008e-02	-3.898190211778320563e-02
-3.940000000000000000e+02	-9.479364814521763771e-02	-3.264215524176537070e-02
-3.930000000000000000e+02	-9.677746578934752486e-02	-2.615250541951997729e-02
-3.920000000000000000e+02	-9.831816761303142915e-02	-1.954261301678367896e-02
-3.910000000000000000e+02	-9.940879541610624093e-02	-1.284246148194514991e-02
-3.900000000000000000e+02	-1.000425016022437608e-01	-6.084258929703434404e-03
-3.890000000000000000e+02	-1.002153925415853464e-01	7.002324558437822768e-04
-3.880000000000000000e+02	-9.992740592986815162e-02	7.478923820317766140e-03
-3.870000000000000000e+02	-9.918042976915136810e-02	1.422138775885243775e-02
-3.860000000000000000e+02	-9.797726160214795255e-02	2.089740931730790785e-02
-3.850000000000000000e+02	-9.632286164579545451e-02	2.747682916632757447e-02
-3.840000000000000000e+02	-9.422303583293893670e-02	3.392927603932111014e-02
-3.830000000000000000e+02	-9.168888707686721762e-02	4.022494767467657550e-02
-3.820000000000000000e+02	-8.873274585445004026e-02	4.633473625761548587e-02
-3.810000000000000000e+02	-8.536812965396098352e-02	5.223178997625634035e-02
-3.800000000000000000e+02	-8.161002809936844515e-02	5.788928000821316061e-02
-3.790000000000000000e+02	-7.747647082122068041e-02	6.328007452746504946e-02
-3.780000000000000000e+02	-7.298731026182475601e-02	6.837921917630777890e-02
-3.770000000000000000e+02	-6.816367460225804253e-02	7.316261031969126249e-02
-3.760000000000000000e+02	-6.302748041747281704e-02	7.760809830872032744e-02
-3.750000000000000000e+02	-5.760229352647325968e-02	8.169543853918449783e-02
-3.740000000000000000e+02	-5.191220247937169963e-02	8.540487539259006278e-02
-3.730000000000000000e+02	-4.598333304317658160e-02	8.871907069463018380e-02
-3.720000000000000000e+02	-3.984295385905636810e-02	9.162354725215737794e-02
-3.710000000000000000e+02	-3.351953260207597013e-02	9.410524583843146718e-02
-3.700000000000000000e+02	-2.704281302813555179e-02	9.615279376101709685e-02
-3.690000000000000000e+02	-2.044167017185094526e-02	9.775538834503774699e-02
