0.056681+0.056682-0.056716-0.056717+0.056680...,-0.0621163-0.0621164-0.0621162+0.0621199+0.0621200...,0.064704+0.064705+0.063703+0.063706-0.063736...,0.0621190-0.0621224+0.0621191-0.0621223-0.0621225...,0.075877+0.075878+0.074876-0.073896-0.073855...,0.0631350+0.0621349+0.0621351+0.061580+0.061579...,-0.0841384-0.0841383-0.0831385+0.0821403+0.0821404...,-0.095887-0.094888-0.093886+0.091905+0.091904...,-0.0921395-0.0921394-0.0911396-0.0881393+0.0881413...,0.086926+0.0861450+0.0851449+0.084925-0.0831440...,0.107947-0.106953-0.105952+0.1031469+0.095980...,-0.107991-0.1041512+0.103996+0.0971517-0.097990...,-0.1151554-0.1131555-0.1121553-0.1081556-0.1041557...,0.1241009-0.121525+0.1181507-0.1141526+0.1141530...,0.134965+0.128964-0.1271481-0.121960-0.117959...,-0.1711556-0.171555-0.171557-0.1681554-0.1681551...,0.1291487+0.1271486-0.1251492-0.1211481-0.1151491...,0.098930+0.097929-0.0931514-0.093938-0.092919...,0.1261489-0.1241484-0.1231483+0.1221488+0.119967...,-0.1221528+0.1151019-0.1061529+0.1021532-0.11023...,0.1461534-0.1441011+0.1431521+0.1421017-0.1391012...,-0.11967+0.108962-0.107968+0.1061031-0.1031495...,-0.126944+0.124950+0.1231466-0.121943-0.121472...,0.157975+0.135974-0.1331492-0.1331024-0.132969...,-0.2531036-0.2481035-0.241037-0.221038-0.221034...,0.179989-0.1681490+0.1611510-0.16993-0.154994...,0.1451528-0.1311533+0.1271529-0.1271532+0.1211537...,0.1971001+0.1721000-0.1681503-0.1631006-0.1581005...,-0.1631522+0.1491517-0.1471031-0.144986+0.135981...,'-0.1561007+0.14 1012-0.1341008-0.127958+0.1231480...',0.2041522-0.1781517+0.1641521-0.1491527-0.1481516...,0.1561000-0.136994-0.129995+0.124999-0.1181529...,-0.138958+0.1281475+0.127962+0.126963-0.1251479...,0.1491510-0.1451516+0.1441482+0.1431511+0.1431483...,0.2521013-0.2211019-0.2151008+0.2121014-0.1881018...,-0.211529-0.1911530+0.1861535+0.1721534-0.1481540...,-0.1531535+0.1441530-0.1421536+0.1331541+0.1321529...,-0.1781027-0.1671028+0.1621032+0.1531033+0.1241003...,0.2121021+0.1981020-0.1891026-0.1771025-0.1641016...,-0.1241496+0.1221474+0.1181473-0.1051497-0.0991495...,'0.18 1543+0.1741542-0.1631548-0.1561027-0.1511547...',class
0.817278,-1.867473,-12.483088,27.386936,-1.028039,1.207656,11.113599,-1.24654,-1.924165,0.244266,0.124978,-0.001057,-4.323074,-1.076059,-0.047743,-0.710896,7.721335,-7.150592,0.332304,3.252743,-5.189508,7.748844,4.563451,2.947587,7.568954,-2.944021,-2.190873,-3.37736,-2.116475,2.027421,0.97871,-0.984385,0.127845,-0.077455,2.985707,1.38887,5.330309,0.183102,-1.646576,0.396921,0.539668,Precessing
-0.561137,-0.810346,3.5966,-27.393126,0.934267,0.350359,6.498993,-7.0448,-14.405226,-0.069798,0.078152,0.721862,-2.325049,-2.180452,0.219476,14.831896,-4.949424,-3.909749,-0.034922,1.057792,-0.173735,0.970719,-0.245394,-0.550186,-2.490492,1.275156,1.141089,2.322783,1.929345,-0.013786,0.920378,-4.09691,-0.189163,1.389533,-1.276309,0.230925,-1.716083,-0.164419,-0.550238,2.405978,-0.25815,Precessing
-0.217159,-2.230524,-9.214925,11.0389,-0.650568,-0.363345,-3.533504,5.941687,13.882564,-0.824028,-1.100438,0.101798,4.492571,1.379522,1.122572,-12.491187,-16.031873,-6.615352,0.016759,2.389152,0.561537,5.177171,11.424442,-1.939917,-4.696382,0.671449,0.633621,-0.417723,0.301208,2.650514,0.839875,-4.884096,0.13325,0.775993,2.377488,-0.006993,3.760826,-0.816409,-2.997701,0.034982,0.586465,Precessing
0.58916,-0.926303,11.655887,-2.575631,1.436109,-0.818244,-5.125784,-6.5552,-14.870408,0.189053,0.618992,0.770127,-3.962723,-2.141207,-0.143997,11.991264,6.742525,-14.321568,0.857454,3.522865,8.598947,-0.184115,-10.143111,0.89017,2.337218,0.904473,1.61397,4.889132,3.076614,4.104449,-0.053964,-0.461278,0.199993,-0.310268,1.477027,1.707638,3.600895,-0.534971,-2.129242,1.682136,0.461278,Precessing
-0.449846,-1.300921,-8.800834,-14.124321,-0.207892,1.303725,14.151822,-0.599142,1.733663,0.175333,-0.44236,-1.057851,-2.083719,-1.443341,-0.317368,3.474099,8.27627,17.662686,-0.203199,-4.093538,-0.593907,-8.033118,-3.070398,-0.424208,-0.78982,1.023403,1.146086,2.692475,2.064147,-3.262088,0.743891,-2.650496,-0.265919,0.82503,-1.626083,-0.224127,-2.224474,-0.262385,0.198458,-1.117186,-0.049973,Precessing
0.679784,-1.958935,-9.824164,23.729143,-0.949137,0.584852,6.403797,3.134662,8.397988,0.051439,-0.451654,-0.586098,-7.611231,-2.371881,0.098888,0.465202,2.65145,-5.904038,0.31026,2.523697,-1.872087,5.592167,1.396946,2.048694,5.208127,-2.016429,-1.436221,-2.334379,-1.621784,1.04198,-0.033087,1.851521,0.144503,-0.809389,1.647498,1.211322,3.14753,0.091455,-0.967469,-0.113751,0.411025,Precessing
-0.447787,-2.490166,-21.922445,-17.802734,0.854839,-0.125777,-1.66203,-3.027282,-6.98399,-0.338255,0.032124,1.257125,12.472993,4.059302,0.138683,-10.367927,2.551917,-3.012604,1.097574,-0.374882,-0.748231,-1.188929,2.960175,-2.912308,-6.366932,2.177027,1.916554,1.299507,0.23847,1.677362,-1.435056,2.576297,0.080643,-0.83142,-0.295634,0.308526,0.4604,0.917439,1.531051,0.729554,-0.20266,Precessing
0.666504,-1.710819,4.072975,23.016476,0.092541,-1.254885,-12.975169,4.693009,10.701663,-0.651817,-0.660968,0.076055,0.402694,-0.382388,0.490418,0.412688,-5.504348,-2.827771,0.106443,0.322422,3.657421,-0.97542,-2.548269,-0.678973,-1.208666,1.01449,1.13108,2.348759,1.355273,2.842131,-0.363534,0.24384,0.076498,-0.211491,0.023656,0.500321,0.302364,-0.18731,-0.696708,0.469194,0.319616,Precessing
-0.700804,-1.243143,-6.476121,-24.728906,0.330449,0.934833,12.086957,-4.771598,-9.216889,0.154487,-0.047546,0.187928,-2.287438,-1.203314,0.163753,0.68373,1.933463,0.112907,0.173878,1.524539,-3.223309,4.566582,3.559829,1.346041,2.391497,-1.320135,-1.254336,-2.890309,-1.57389,-2.755493,0.638768,-0.887838,-0.124598,0.125841,-0.129995,0.651651,0.402564,-0.025746,-0.175741,-0.925775,0.094982,Precessing
-0.125316,-2.146777,-7.206582,14.438297,-0.643197,-0.551265,-5.700428,6.49868,14.788656,-0.822332,-0.926207,0.215914,8.076947,2.708315,0.687835,-15.768541,-4.663225,3.936422,0.408591,0.217217,-1.940711,3.523084,3.57838,-0.511876,-1.969737,-0.215055,-0.912756,-3.904508,-2.683328,-3.640028,-0.302236,1.421595,-0.149402,-0.379407,-0.980434,0.19693,-0.439908,0.986731,2.177571,-1.967723,-0.143488,Precessing
0.046611,-2.545341,-16.270018,15.670298,-1.175203,0.232606,5.200925,6.205248,15.877938,-0.238821,-0.90649,-0.671128,-3.590124,-1.749531,0.295054,1.734996,-6.317571,-0.929657,0.341382,0.585237,0.754505,2.088156,0.94528,-1.26943,-3.657254,1.021087,0.708441,0.184455,-0.117734,1.55169,-0.532807,0.570395,0.068426,-0.398772,-0.026569,-0.40377,-0.218911,0.011034,-0.109056,0.077464,0.047758,Precessing
0.084104,-0.066571,21.499404,-12.581187,1.651427,-0.961049,-10.859353,-4.664911,-10.811385,-0.38638,0.112416,0.912653,6.101449,1.825616,0.269448,-1.300631,3.770862,2.343845,-0.439686,-1.605572,-1.10494,-5.4392,0.562967,0.509675,2.830004,0.108962,0.859345,2.964482,2.115931,-0.144766,0.812427,-1.742478,-0.164305,0.373212,0.236958,-0.005864,-0.060844,0.17016,0.088228,0.321299,0.189473,Precessing
-0.674612,-2.371166,-24.829318,-14.353418,-0.657925,1.667996,19.946677,-0.532003,1.717217,0.209623,-0.767825,-0.620964,-7.018884,-2.48155,0.189458,0.751241,-2.742539,-1.022005,0.431929,0.111399,-1.058233,1.270256,1.48091,-1.177537,-2.843489,0.610014,0.135455,-1.329955,-1.165264,-0.102634,-0.185683,0.427536,-0.086429,-0.33702,-0.484511,-1.146788,-1.747501,0.265572,1.080075,-0.206818,-0.226503,NonSpinning
-0.61057,-2.489208,-26.264412,-10.654281,-0.833446,1.661434,19.700168,0.560181,4.249851,0.203999,-0.84446,-0.738428,-7.253051,-2.546502,0.237223,1.286616,-3.861915,-0.609945,0.266767,-0.351539,-0.412148,-0.110081,0.838381,-1.326756,-2.872701,0.910277,0.56453,-0.064214,-0.319488,0.685547,-0.156454,0.157894,-0.069,-0.304983,-0.295919,-1.370683,-1.807641,0.152729,0.851672,-0.116073,-0.148072,NonSpinning
-0.651659,-2.419573,-25.45552,-13.138664,-0.714093,1.666945,19.891389,-0.212166,2.439938,0.21353,-0.779712,-0.640253,-7.006305,-2.455173,0.207247,0.745393,-3.033512,-1.104283,0.38996,0.023642,-0.880969,0.958192,1.326165,-1.202368,-2.791801,0.673213,0.239296,-0.999399,-0.946875,0.155883,-0.184562,0.39255,-0.07577,-0.342848,-0.394446,-1.172095,-1.672944,0.247614,0.998398,-0.152126,-0.198156,NonSpinning
